year;precipitation;groundwater_recharge;total_water_demand;irrigation_demand;livestock_demand;domestic_demand;industry_demand;desalination_abstraction;non_fossil_groundwater_abstraction;fossil_groundwater_abstraction;surface_water_abstraction
1958;105320.7;1.842466e+04;1.240271e+03;2.567172e+02;9.075903e+00;7.035085e+01;2.965345e+02;7.819520e-02;1.578050e+02;9.605518e+01;1.022803e+03
1959;107607.9;1.906277e+04;1.263867e+03;2.491914e+02;9.087683e+00;6.999585e+01;2.927089e+02;7.819841e-02;1.589786e+02;9.417191e+01;1.047292e+03
1960;106970.6;1.929269e+04;1.286309e+03;2.683438e+02;9.096911e+00;7.079368e+01;2.969852e+02;7.854259e-02;1.616251e+02;9.798092e+01;1.057636e+03
1961;108360.8;1.938216e+04;1.301974e+03;2.472240e+02;9.194707e+00;7.190644e+01;2.939789e+02;7.958519e-02;1.578365e+02;9.523442e+01;1.075869e+03
1962;107674.4;2.012807e+04;1.340273e+03;2.699045e+02;9.326740e+00;7.427825e+01;2.995416e+02;8.485989e-02;1.633814e+02;9.759015e+01;1.102542e+03
1963;107075.7;1.889539e+04;1.377605e+03;2.757943e+02;9.467585e+00;7.678063e+01;3.039562e+02;8.592174e-02;1.666739e+02;9.956730e+01;1.126480e+03
1964;107980.6;1.965432e+04;1.422722e+03;2.693915e+02;9.667082e+00;7.957987e+01;3.072403e+02;8.744435e-02;1.726709e+02;9.865677e+01;1.171901e+03
1965;102770.0;1.831378e+04;1.440017e+03;2.953839e+02;9.796026e+00;8.309584e+01;3.161794e+02;8.880307e-02;1.771955e+02;1.116812e+02;1.166128e+03
1966;107148.2;1.963368e+04;1.488454e+03;3.022438e+02;9.939404e+00;8.597727e+01;3.245849e+02;8.976766e-02;1.749214e+02;1.162553e+02;1.214247e+03
1967;106859.3;1.892819e+04;1.507054e+03;2.867716e+02;1.014174e+01;8.813137e+01;3.283281e+02;9.027309e-02;1.762961e+02;1.109723e+02;1.239926e+03
1968;107394.1;1.911356e+04;1.545472e+03;3.074388e+02;1.030209e+01;9.134187e+01;3.363150e+02;1.211720e-01;1.842438e+02;1.170748e+02;1.260693e+03
