year;precipitation;groundwater_recharge;baseflow;total_water_demand;irrigation_demand;livestock_demand;domestic_demand;industry_demand;desalination_abstraction;non_fossil_groundwater_abstraction;fossil_groundwater_abstraction;surface_water_abstraction
1958;105320.7;2.032896e+04;2.037913e+04;1.751724e+03;1.314715e+03;9.457758e+00;8.236483e+01;3.452571e+02;7.781194e-02;5.085710e+02;2.577755e+02;1.022747e+03
1959;107607.9;2.121414e+04;2.058396e+04;1.762058e+03;1.325063e+03;9.445654e+00;8.236483e+01;3.452571e+02;7.780032e-02;5.088935e+02;2.445723e+02;1.046162e+03
1960;106970.6;2.143332e+04;2.086957e+04;1.800743e+03;1.362501e+03;9.473442e+00;8.258542e+01;3.462533e+02;7.805278e-02;5.138168e+02;2.599582e+02;1.058993e+03
1961;108360.8;2.162950e+04;2.085957e+04;1.809708e+03;1.368117e+03;9.561733e+00;8.455039e+01;3.475571e+02;7.916817e-02;5.065023e+02;2.530676e+02;1.076249e+03
1962;107674.4;2.236880e+04;2.132827e+04;1.855120e+03;1.406176e+03;9.670618e+00;8.708667e+01;3.522603e+02;8.446515e-02;5.167314e+02;2.621117e+02;1.100919e+03
1963;107075.7;2.090851e+04;2.066916e+04;1.901641e+03;1.443851e+03;9.844786e+00;9.024818e+01;3.577652e+02;8.560151e-02;5.264913e+02;2.605952e+02;1.130814e+03
1964;107980.6;2.194202e+04;2.089600e+04;1.960916e+03;1.490326e+03;1.009450e+01;9.419986e+01;3.663722e+02;8.707649e-02;5.403445e+02;2.635390e+02;1.178417e+03
1965;102770.0;2.019921e+04;2.037088e+04;2.003348e+03;1.520988e+03;1.024555e+01;9.802385e+01;3.741659e+02;8.846375e-02;5.528715e+02;2.944245e+02;1.172787e+03
1966;107148.2;2.176615e+04;2.118689e+04;2.061460e+03;1.569366e+03;1.039853e+01;1.009500e+02;3.808208e+02;8.931185e-02;5.583050e+02;2.992845e+02;1.222795e+03
1967;106859.3;2.097339e+04;2.044114e+04;2.083164e+03;1.583441e+03;1.059330e+01;1.036026e+02;3.855960e+02;8.970034e-02;5.685547e+02;2.893908e+02;1.247280e+03
1968;107394.1;2.121479e+04;2.041804e+04;2.147932e+03;1.636717e+03;1.074725e+01;1.071087e+02;3.934353e+02;1.203945e-01;5.933694e+02;3.074616e+02;1.265507e+03
1969;106004.2;2.167534e+04;2.090901e+04;2.225212e+03;1.698922e+03;1.080039e+01;1.117698e+02;4.038038e+02;1.228900e-01;6.227463e+02;2.892325e+02;1.329728e+03
1970;107516.1;2.274495e+04;2.175922e+04;2.264532e+03;1.719955e+03;1.091211e+01;1.168882e+02;4.168996e+02;1.250962e-01;6.150950e+02;3.055578e+02;1.352449e+03
1971;107352.4;2.219932e+04;2.163517e+04;2.324133e+03;1.756599e+03;1.110301e+01;1.250753e+02;4.315118e+02;1.254158e-01;6.296722e+02;2.963282e+02;1.409999e+03
1972;104361.1;2.008433e+04;2.026070e+04;2.414252e+03;1.823964e+03;1.130390e+01;1.316015e+02;4.475429e+02;1.294614e-01;6.523068e+02;3.291902e+02;1.438706e+03
1973;112369.9;2.378459e+04;2.209198e+04;2.501131e+03;1.875162e+03;1.138704e+01;1.416119e+02;4.731567e+02;1.354234e-01;6.501698e+02;3.043671e+02;1.551977e+03
1974;111592.7;2.376483e+04;2.238993e+04;2.580874e+03;1.924589e+03;1.160880e+01;1.506757e+02;4.941685e+02;1.534823e-01;6.753551e+02;3.475919e+02;1.548161e+03
1975;112108.3;2.410439e+04;2.273845e+04;2.642324e+03;1.966719e+03;1.175506e+01;1.569191e+02;5.071056e+02;1.580014e-01;6.886282e+02;3.254641e+02;1.621428e+03
1976;106930.5;2.152304e+04;2.151086e+04;2.715746e+03;2.022043e+03;1.202936e+01;1.624013e+02;5.194597e+02;1.635630e-01;7.168824e+02;3.367992e+02;1.651800e+03
1977;108285.8;2.175887e+04;2.127275e+04;2.748373e+03;2.029460e+03;1.205649e+01;1.703640e+02;5.366645e+02;1.677937e-01;7.161811e+02;3.349180e+02;1.680121e+03
1978;109536.2;2.283528e+04;2.201840e+04;2.828137e+03;2.081374e+03;1.208733e+01;1.782742e+02;5.565723e+02;3.991877e-01;7.496375e+02;3.275026e+02;1.729221e+03
1979;107232.0;2.170220e+04;2.151454e+04;2.928384e+03;2.148042e+03;1.218172e+01;1.884456e+02;5.798847e+02;4.167743e-01;7.749451e+02;3.521716e+02;1.764613e+03
1980;105218.3;2.148720e+04;2.124874e+04;3.016470e+03;2.208179e+03;1.251384e+01;1.974465e+02;5.984808e+02;4.309256e-01;7.835012e+02;3.728063e+02;1.825510e+03
1981;108681.3;2.247296e+04;2.176248e+04;3.009894e+03;2.192427e+03;1.262324e+01;2.021927e+02;6.028042e+02;4.346643e-01;7.694265e+02;3.818857e+02;1.826461e+03
1982;106209.0;2.086642e+04;2.069747e+04;3.026196e+03;2.207354e+03;1.280909e+01;2.046107e+02;6.015843e+02;4.326170e-01;7.964293e+02;3.833388e+02;1.808660e+03
1983;105543.4;2.100709e+04;2.110467e+04;3.111405e+03;2.285500e+03;1.295143e+01;2.079705e+02;6.051491e+02;4.874428e-01;8.055247e+02;3.568147e+02;1.916824e+03
1984;107465.7;2.262723e+04;2.185842e+04;3.180342e+03;2.343486e+03;1.310213e+01;2.127703e+02;6.111359e+02;4.904693e-01;8.270175e+02;3.951922e+02;1.922103e+03
1985;105353.6;2.164468e+04;2.099805e+04;3.214080e+03;2.362961e+03;1.316884e+01;2.186924e+02;6.194048e+02;4.943862e-01;8.332684e+02;4.270652e+02;1.917294e+03
1986;103882.0;2.100928e+04;2.075497e+04;3.257638e+03;2.374963e+03;1.336700e+01;2.279095e+02;6.415707e+02;4.920687e-01;8.474595e+02;4.153432e+02;1.958191e+03
1987;100580.0;1.874633e+04;1.936776e+04;3.321078e+03;2.414568e+03;1.351543e+01;2.355306e+02;6.576192e+02;4.994590e-01;8.428194e+02;4.564957e+02;1.977756e+03
1988;107932.3;2.213293e+04;2.089887e+04;3.402717e+03;2.470181e+03;1.371577e+01;2.447842e+02;6.741773e+02;1.480828e+00;8.492064e+02;4.501314e+02;2.059730e+03
1989;107290.1;2.229463e+04;2.104152e+04;3.499131e+03;2.554804e+03;1.395378e+01;2.505474e+02;6.799684e+02;1.492999e+00;9.128422e+02;4.584594e+02;2.078469e+03
1990;106001.0;2.179827e+04;2.133346e+04;3.576507e+03;2.606407e+03;1.417565e+01;2.597198e+02;6.963598e+02;1.493350e+00;9.066059e+02;4.257154e+02;2.195603e+03
1991;103263.6;2.052456e+04;2.039512e+04;3.631379e+03;2.658307e+03;1.430718e+01;2.627612e+02;6.961370e+02;1.482126e+00;9.461447e+02;4.636705e+02;2.162542e+03
1992;101908.0;1.923514e+04;1.926803e+04;3.730322e+03;2.750390e+03;1.363838e+01;2.673869e+02;6.990648e+02;1.493416e+00;9.864084e+02;4.833175e+02;2.200351e+03
