year;precipitation;groundwater_recharge;baseflow;total_water_demand;irrigation_demand;livestock_demand;domestic_demand;industry_demand;desalination_abstraction;non_fossil_groundwater_abstraction;fossil_groundwater_abstraction;surface_water_abstraction
1958;105320.7;2.032858e+04;2.037896e+04;1.750733e+03;1.313730e+03;9.457896e+00;8.236329e+01;3.452518e+02;7.783209e-02;5.085050e+02;2.569960e+02;1.022552e+03
1959;107607.9;2.121389e+04;2.058389e+04;1.761082e+03;1.324092e+03;9.445258e+00;8.236350e+01;3.452516e+02;7.782274e-02;5.087546e+02;2.438623e+02;1.046144e+03
1960;106970.6;2.143261e+04;2.086935e+04;1.798553e+03;1.361361e+03;9.473262e+00;8.250732e+01;3.452838e+02;7.808110e-02;5.134782e+02;2.580319e+02;1.059148e+03
1961;108360.8;2.162866e+04;2.085930e+04;1.805255e+03;1.366854e+03;9.561817e+00;8.435247e+01;3.445673e+02;7.918950e-02;5.061237e+02;2.489564e+02;1.076337e+03
1962;107674.4;2.236777e+04;2.132815e+04;1.847213e+03;1.404338e+03;9.670479e+00;8.673317e+01;3.465434e+02;8.449748e-02;5.164185e+02;2.545381e+02;1.100817e+03
1963;107075.7;2.090793e+04;2.066919e+04;1.893447e+03;1.442367e+03;9.844749e+00;8.985826e+01;3.514478e+02;8.561929e-02;5.260149e+02;2.528039e+02;1.130838e+03
1964;107980.6;2.194105e+04;2.089580e+04;1.952356e+03;1.488638e+03;1.009370e+01;9.376649e+01;3.599326e+02;8.711340e-02;5.400039e+02;2.555551e+02;1.178109e+03
1965;102770.0;2.019856e+04;2.037091e+04;1.995069e+03;1.519474e+03;1.024533e+01;9.752057e+01;3.679035e+02;8.847452e-02;5.525032e+02;2.864355e+02;1.172832e+03
1966;107148.2;2.176532e+04;2.118663e+04;2.051806e+03;1.567268e+03;1.039846e+01;1.003392e+02;3.738775e+02;8.933765e-02;5.578732e+02;2.904876e+02;1.222526e+03
1967;106859.3;2.097262e+04;2.044093e+04;2.073499e+03;1.581360e+03;1.059295e+01;1.030005e+02;3.786148e+02;8.973064e-02;5.682049e+02;2.802741e+02;1.247031e+03
1968;107394.1;2.121416e+04;2.041778e+04;2.137992e+03;1.634763e+03;1.074699e+01;1.064763e+02;3.860789e+02;1.204654e-01;5.929366e+02;2.981203e+02;1.265293e+03
1969;106004.2;2.167460e+04;2.090905e+04;2.215967e+03;1.696982e+03;1.079973e+01;1.111632e+02;3.971041e+02;1.229502e-01;6.221776e+02;2.804731e+02;1.329763e+03
1970;107516.1;2.274428e+04;2.175915e+04;2.254298e+03;1.718235e+03;1.091184e+01;1.161998e+02;4.090733e+02;1.251636e-01;6.147552e+02;2.955776e+02;1.352617e+03
1971;107352.4;2.219785e+04;2.163466e+04;2.312432e+03;1.753967e+03;1.110280e+01;1.243091e+02;4.232041e+02;1.254793e-01;6.287339e+02;2.851116e+02;1.410162e+03
1972;104361.1;2.008218e+04;2.025999e+04;2.400964e+03;1.820399e+03;1.130332e+01;1.307960e+02;4.386287e+02;1.295232e-01;6.511603e+02;3.170223e+02;1.438664e+03
1973;112369.9;2.378174e+04;2.209089e+04;2.486740e+03;1.870321e+03;1.138640e+01;1.407696e+02;4.644423e+02;1.354932e-01;6.484747e+02;2.920725e+02;1.551613e+03
1974;111592.7;2.376196e+04;2.238895e+04;2.565952e+03;1.920174e+03;1.160870e+01;1.497384e+02;4.845961e+02;1.535529e-01;6.738510e+02;3.343939e+02;1.548030e+03
1975;112108.3;2.410152e+04;2.273753e+04;2.626910e+03;1.962487e+03;1.175439e+01;1.558464e+02;4.969921e+02;1.580893e-01;6.869937e+02;3.114890e+02;1.621478e+03
1976;106930.5;2.152084e+04;2.150986e+04;2.699719e+03;2.017425e+03;1.202903e+01;1.613182e+02;5.091286e+02;1.636277e-01;7.153702e+02;3.221395e+02;1.651874e+03
1977;108285.8;2.175604e+04;2.127154e+04;2.729293e+03;2.024212e+03;1.205598e+01;1.690002e+02;5.242020e+02;1.678878e-01;7.142449e+02;3.182700e+02;1.679548e+03
1978;109536.2;2.283184e+04;2.201735e+04;2.810426e+03;2.075599e+03;1.208715e+01;1.769007e+02;5.460068e+02;3.993729e-01;7.476542e+02;3.120827e+02;1.728951e+03
1979;107232.0;2.169946e+04;2.151352e+04;2.909807e+03;2.142844e+03;1.218112e+01;1.870402e+02;5.679064e+02;4.170575e-01;7.733258e+02;3.353215e+02;1.764484e+03
